DateTime,Location,Meter Name,Commodity Name,Demand/Usage
2017-05-31 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),103.2
2017-05-31 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),129.6
2017-05-31 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),385.2
2017-05-31 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),433.2
2017-05-31 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),447.6
2017-05-31 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),442.8
2017-05-31 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),465.6
2017-05-31 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),498.0
2017-05-31 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),504.0
2017-05-31 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),504.0
2017-05-31 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),507.6
2017-05-31 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),512.4
2017-05-31 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),507.6
