Date,HOUR,PUN
2017-06-15,6,44.19407
2017-06-15,7,47.88591
2017-06-15,8,56.3
2017-06-15,9,70.37
2017-06-15,10,64.2
2017-06-15,11,57.42074
2017-06-15,12,56.36728
2017-06-15,13,48.23671
2017-06-15,14,47.23027
2017-06-15,15,52.33769
2017-06-15,16,55.40977
2017-06-15,17,59.13182
2017-06-15,18,58.68329
2017-06-15,19,60.32105
2017-06-15,20,62.53965
2017-06-15,21,61.4658
2017-06-15,22,62.30542
2017-06-15,23,57.03868
2017-06-15,24,52.49856
2017-06-16,1,58.4324
2017-06-16,2,47.99384
2017-06-16,3,47.12725
2017-06-16,4,46.67549
2017-06-16,5,46.67541
2017-06-16,6,46.67569
2017-06-16,7,48.95154
2017-06-16,8,61.25722
2017-06-16,9,75.0
2017-06-16,10,70.2
2017-06-16,11,62.09543
2017-06-16,12,59.1701
2017-06-16,13,52.94075
2017-06-16,14,49.0089
2017-06-16,15,53.00189
2017-06-16,16,54.84872
2017-06-16,17,55.62145
2017-06-16,18,56.53499
2017-06-16,19,57.42227
2017-06-16,20,60.81011
2017-06-16,21,56.76732
2017-06-16,22,57.59134
2017-06-16,23,53.61065
2017-06-16,24,52.36122
2017-06-17,1,62.99812
2017-06-17,2,57.05455
2017-06-17,3,49.35224
2017-06-17,4,47.79429
2017-06-17,5,47.09578
2017-06-17,6,46.47083
2017-06-17,7,46.47529
2017-06-17,8,48.26869
2017-06-17,9,50.32112
2017-06-17,10,49.53344
2017-06-17,11,48.65088
2017-06-17,12,46.17795
2017-06-17,13,44.07837
2017-06-17,14,39.26237
2017-06-17,15,39.52322
2017-06-17,16,41.6617
2017-06-17,17,43.61079
2017-06-17,18,45.09333
2017-06-17,19,48.07138
2017-06-17,20,52.46186
2017-06-17,21,52.15142
2017-06-17,22,52.79549
2017-06-17,23,51.08181
2017-06-17,24,49.64657
2017-06-18,1,45.67332
2017-06-18,2,43.73639
2017-06-18,3,40.45867
2017-06-18,4,40.4813
2017-06-18,5,38.99
2017-06-18,6,39.99
2017-06-18,7,34.6
2017-06-18,8,32.2
2017-06-18,9,25.54401
2017-06-18,10,25.0
2017-06-18,11,31.27748
2017-06-18,12,27.12676
2017-06-18,13,27.34961
2017-06-18,14,22.06524
2017-06-18,15,20.2199
2017-06-18,16,24.47563
2017-06-18,17,30.97474
2017-06-18,18,31.64
2017-06-18,19,38.67
2017-06-18,20,44.96727
2017-06-18,21,48.60996
2017-06-18,22,49.73621
2017-06-18,23,49.64301
2017-06-18,24,45.14413
2017-06-19,1,44.86687
2017-06-19,2,41.26122
2017-06-19,3,37.96
2017-06-19,4,35.3
2017-06-19,5,32.0
2017-06-19,6,37.82
2017-06-19,7,44.55542
2017-06-19,8,47.98284
2017-06-19,9,56.23313
2017-06-19,10,56.20797
2017-06-19,11,51.13651
2017-06-19,12,47.76815
2017-06-19,13,46.46187
2017-06-19,14,46.22289
2017-06-19,15,51.41328
2017-06-19,16,53.20892
2017-06-19,17,57.29183
2017-06-19,18,53.90934
2017-06-19,19,53.08295
2017-06-19,20,58.76481
2017-06-19,21,59.0414
2017-06-19,22,61.06068
2017-06-19,23,58.56
2017-06-19,24,51.27241
2017-06-20,1,54.47714
2017-06-20,2,48.62029
2017-06-20,3,46.81
2017-06-20,4,46.81
2017-06-20,5,46.74
2017-06-20,6,46.74
2017-06-20,7,48.85841
2017-06-20,8,54.45024
2017-06-20,9,63.59903
2017-06-20,10,67.96677
2017-06-20,11,60.00714
2017-06-20,12,55.21501
2017-06-20,13,49.87234
2017-06-20,14,50.16977
2017-06-20,15,52.1365
2017-06-20,16,57.24227
2017-06-20,17,62.4774
2017-06-20,18,62.75728
2017-06-20,19,63.69712
2017-06-20,20,72.12996
2017-06-20,21,72.01511
2017-06-20,22,71.37909
2017-06-20,23,57.74813
2017-06-20,24,52.09991
2017-06-21,1,50.4058
2017-06-21,2,48.30616
2017-06-21,3,47.75449
2017-06-21,4,45.0836
2017-06-21,5,44.93677
2017-06-21,6,45.07831
2017-06-21,7,48.13364
2017-06-21,8,55.94078
2017-06-21,9,68.17342
2017-06-21,10,63.41949
2017-06-21,11,55.90416
2017-06-21,12,53.76423
2017-06-21,13,52.03652
2017-06-21,14,53.78038
2017-06-21,15,59.71928
2017-06-21,16,69.52
2017-06-21,17,70.37474
2017-06-21,18,72.23886
2017-06-21,19,73.74445
2017-06-21,20,79.01181
2017-06-21,21,72.77224
2017-06-21,22,72.08377
2017-06-21,23,65.01
2017-06-21,24,56.2791
2017-06-22,1,55.67323
2017-06-22,2,50.25651
2017-06-22,3,48.88978
2017-06-22,4,47.46
2017-06-22,5,46.83
2017-06-22,6,46.81
2017-06-22,7,47.46
2017-06-22,8,56.17142
2017-06-22,9,73.44086
2017-06-22,10,70.42
2017-06-22,11,65.37163
2017-06-22,12,64.90383
2017-06-22,13,52.97762
2017-06-22,14,54.15143
2017-06-22,15,61.7523
2017-06-22,16,63.70325
2017-06-22,17,66.37197
2017-06-22,18,67.5
2017-06-22,19,69.51193
2017-06-22,20,78.71771
2017-06-22,21,67.41193
2017-06-22,22,65.99273
2017-06-22,23,56.73512
2017-06-22,24,51.73523
2017-06-23,1,55.97667
2017-06-23,2,52.68256
2017-06-23,3,49.91158
2017-06-23,4,49.23537
2017-06-23,5,49.21069
2017-06-23,6,48.73462
2017-06-23,7,49.36787
2017-06-23,8,56.40862
2017-06-23,9,75.44
2017-06-23,10,72.42
2017-06-23,11,71.30927
2017-06-23,12,71.27499
2017-06-23,13,67.5279
2017-06-23,14,67.43237
2017-06-23,15,68.27366
2017-06-23,16,67.61946
2017-06-23,17,74.27125
2017-06-23,18,64.54442
2017-06-23,19,64.52568
2017-06-23,20,64.95647
2017-06-23,21,63.98146
2017-06-23,22,63.40444
2017-06-23,23,53.5819
2017-06-23,24,51.33795
2017-06-24,1,55.18804
2017-06-24,2,50.1899
