Date,Price
2017-11-25,54.62485500000002
2017-11-26,50.57149458333333
2017-11-27,58.88381375000001
2017-11-28,74.70554958333334
2017-11-29,76.93181041666665
2017-11-30,68.86746583333333
2017-12-01,78.67408083333332
2017-12-02,69.20935874999999
2017-12-03,60.83720333333334
2017-12-04,81.05575166666667
2017-12-05,89.80608250000002
2017-12-06,87.90853041666668
2017-12-07,80.38680208333334
2017-12-08,66.54461291666667
2017-12-09,64.97863166666666
2017-12-10,57.96869916666665
2017-12-11,65.43922083333334
2017-12-12,73.99190375000002
2017-12-13,110.97831625000002
2017-12-14,76.67715625000001
2017-12-15,62.42890624999999
2017-12-16,57.892643333333325
2017-12-17,55.924630416666666
2017-12-18,67.69194041666667
2017-12-19,66.75959958333334
2017-12-20,77.75804124999998
