DateTime,Location,Commodity Name,Demand/Usage,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2017-05-30 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),279.0,,,,
2017-05-30 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),277.8,,,,
2017-05-30 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),278.4,,,,
2017-05-30 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),350.4,,,,
2017-05-30 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),375.0,,,,
2017-05-30 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),454.2,,,,
2017-05-30 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),506.4,,,,
2017-05-30 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),600.0,,,,
2017-05-30 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),649.2,,,,
2017-05-30 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),703.8,,,,
2017-05-30 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),716.4,,,,
2017-05-30 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),733.8,,,,
2017-05-30 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),727.2,,,,
2017-05-30 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),727.8,,,,
2017-05-30 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),718.2,,,,
2017-05-30 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),702.0,,,,
2017-05-30 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),677.4,,,,
2017-05-30 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),490.8,,,,
2017-05-30 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),464.4,,,,
2017-05-30 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),428.4,,,,
2017-05-30 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),402.0,,,,
2017-05-30 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),342.6,,,,
2017-05-31 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),323.4,,,,
